group	t1	t2	winner	date
A	T1	SGB	1	05-10
A	AZE	DFM	2	05-10
C	ORD	G2	2	05-10
C	EG	G2	2	05-10
B	IW	RNG	2	05-14
B	RED	PSG	1	05-10
C	G2	EG	1	05-11
C	EG	ORD	1	05-11
A	DFM	SGB	2	05-11
A	AZE	T1	2	05-11
B	IW	RED	1	05-11
B	RNG	PSG	1	05-14
C	ORD	EG	2	05-12
C	G2	ORD	1	05-12
B	PSG	IW	1	05-12
B	RNG	RED	1	05-14
A	SGB	AZE	1	05-12
A	T1	DFM	1	05-12
B	PSG	RED	1	05-13
B	RNG	IW	1	05-13
B	IW	PSG	2	05-13
B	RED	RNG	2	05-13
B	RED	IW	1	05-13
B	PSG	RNG	2	05-13
C	EG	G2	2       05-14
C	EG	ORD	1	05-14
C	G2	ORD	1	05-14
C	G2	EG	1	05-14
C	ORD	EG	2	05-14
C	ORD	G2	2	05-14
A	AZE	SGB	TBD	05-15
A	DFM	T1	TBD	05-15
A	SGB	DFM	TBD	05-15
A	T1	AZE	TBD	05-15
A	DFM	AZE	TBD	05-15
A	SGB	T1	TBD	05-15
